,Rank,Pos Rk,Player,Pos,Team,Comments,Draft Pick Value
0,1,QB1,Patrick Mahomes,QB,KC,,>2024 1.01
1,2,QB2,Lamar Jackson,QB,BAL,,>2024 1.01
2,3,QB3,Jalen Hurts,QB,PHI,,>2024 1.01
3,4,QB4,Josh Allen,QB,BUF,,>2024 1.01
4,5,WR1,Justin Jefferson,WR,MIN,,>2024 1.01
5,6,QB5,Anthony Richardson,QB,IND,"Richardson has shown more as a passer than many expected, and Shane Steichen is giving him plenty of rushing and GL opportunities.",>2024 1.01
6,7,RB1,Bijan Robinson,RB,ATL,,~2024 1.01
7,8,RB2,Breece Hall,RB,NYJ,"There's not much to love about a Zach Wilson-led Jets offense, but Hall has shown elite RB1 upside as soon as he's 100% healthy.",~2024 1.01
8,9,WR2,Ja'Marr Chase,WR,CIN,"Chase is still an elite WR long term, but there's concern about 2023 production if Burrow's calf isn't 100% all season.",~2024 1.01
9,10,QB6,Tua Tagovailoa,QB,MIA,"The only concern for Tua is health. If he can stay on the field, Tua will be a strong QB1 with elite weekly upside this season.",~2024 1.01
10,11,QB7,Justin Herbert,QB,LAC,,~2024 1.01
11,12,QB8,Joe Burrow,QB,CIN,"Burrow will be fine in the long run, but there's a chance that this calf injury could greatly limit his 2023 production.",~2024 1.01
12,13,WR3,AJ Brown,WR,PHI,,Early 2024 1st
13,14,RB3,Christian McCaffrey,RB,SF,"The age cliff is looming for McCaffrey, but he's a weekly top-3 RB if he can stay healthy for the duration of the 2023 season.",Early 2024 1st
14,15,QB9,Justin Fields,QB,CHI,"CHI has finally started to call more designed runs for him, so Fields remains a QB1 ROS even with inconsistent passing.",Early 2024 1st
15,16,QB10,Trevor Lawrence,QB,JAC,,Early 2024 1st
16,17,WR4,Chris Olave,WR,NO,,Early 2024 1st
17,18,WR5,Garrett Wilson,WR,NYJ,"Wilson moves down slightly due to the QB downgrade in 2023, but he's still seeing a massive target share this year and is fine long-term.",Early 2024 1st
18,19,WR6,Jaylen Waddle,WR,MIA,,Early 2024 1st
19,20,WR7,Tyreek Hill,WR,MIA,"Age be damned. My dynasty rankings align more with redraft in-season, and Hill and Diggs are still elite WR1s and league-winners in 2023.",Early 2024 1st
20,21,WR8,Stefon Diggs,WR,BUF,,Early 2024 1st
21,22,WR9,Amon-Ra St. Brown,WR,DET,,Early 2024 1st
22,23,WR10,CeeDee Lamb,WR,DAL,,Early 2024 1st
23,24,TE1,Mark Andrews,TE,BAL,,Early 2024 1st
24,25,WR11,Davante Adams,WR,LV,"There was some concern that Garoppolo wouldn't target Adams downfield, but Adams has been a dominant force and truly QB-proof.",Early 2024 1st
25,26,QB11,Kyler Murray,QB,ARI,,Early 2024 1st
26,27,QB12,CJ Stroud,QB,HOU,"Stroud has looked poised from the moment he stepped on an NFL field. Even without much rushing upside, he could quickly ascend.",Early 2024 1st
27,28,RB4,Tony Pollard,RB,DAL,"Pollard is seeing lead back and GL usage and is a top-5 RB for 2023, but keep in mind he's on the franchise tag heading into 2024.",Mid 2024 1st
28,29,TE2,Travis Kelce,TE,KC,,Mid 2024 1st
29,30,WR12,DeVonta Smith,WR,PHI,,Mid 2024 1st
30,31,RB5,Austin Ekeler,RB,LAC,"Ekeler should remain a top-12 RB once he returns from his ankle injury, but he's a declining asset who will be 29 years old next season.",Mid 2024 1st
31,32,RB6,Saquon Barkley,RB,NYG,,Mid 2024 1st
32,33,QB13,Dak Prescott,QB,DAL,"Prescott has been inconsistent to start the year, and he may not need to throw much in general with DAL's defense limiting opponents.",Mid 2024 1st
33,34,QB14,Deshaun Watson,QB,CLE,"Watson still hasn't shaken off the rust despite playing behind a top OL, and it's unclear whether he'll regain his HOU form at this point.",Mid 2024 1st
34,35,WR13,DK Metcalf,WR,SEA,,Mid 2024 1st
35,36,WR14,Jaxon Smith-Njigba,WR,SEA,"JSN is only playing in 3WR sets and being targeted on short routes, but his outlook remains bullish long-term.",Mid 2024 1st
36,37,WR15,Zay Flowers,WR,BAL,"Flowers has already ascended to the clear No. 1 WR role in BAL, and things should open up downfield once their OL gets healthier.",Mid 2024 1st
37,38,WR16,Jordan Addison,WR,MIN,"Addison is slowing taking over the No. 2 WR role in MIN, and their defense is forcing enough shootouts to give him a ton of targets.",Mid 2024 1st
38,39,WR17,Cooper Kupp,WR,LAR,,Mid 2024 1st
39,40,WR18,Drake London,WR,ATL,"London still looks like an elite prospect long-term, but Ridder is awful. It's hard to see London being more than a WR3 in 2023.",Mid 2024 1st
40,41,WR19,Tee Higgins,WR,CIN,"As with Chase, there's significant worry that Burrow's calf will downgrade the entire CIN offense in fantasy.",Mid 2024 1st
41,42,RB7,Kenneth Walker,RB,SEA,,Mid 2024 1st
42,43,RB8,Travis Etienne,RB,JAC,,Mid 2024 1st
43,44,RB9,De'Von Achane,RB,MIA,"Achane will likely lead a committee backfield, but McDaniel's scheme puts him in position to score a TD every time he touches the ball.",Mid 2024 1st
44,45,RB10,Jahmyr Gibbs,RB,DET,It's become apparent that Gibbs's fantasy ceiling will be limited by DET's clear preference for Montgomery on early downs and near the GL.,Mid 2024 1st
45,46,RB11,Jonathan Taylor,RB,IND,"It's unclear how many games Taylor will play in 2023, but he should still be a strong buy for rebuilding teams.",Mid 2024 1st
46,47,WR20,Deebo Samuel,WR,SF,"Samuel and Aiyuk may alternate big weeks in 2023, but both have massive ceilings with Aiyuk heading to free agency this offseason.",Mid 2024 1st
47,48,WR21,Brandon Aiyuk,WR,SF,,Mid 2024 1st
48,49,TE3,Sam LaPorta,TE,DET,"Even as a rookie, LaPorta is heavily involved as a pass-catcher and has shown high-end playmaking ability.",Late 2024 1st
49,50,WR22,Marquise Brown,WR,ARI,"ARI's offense has been surprisingly efficient with Dobbs at the helm, and Brown is seeing enough volume to be a WR2 ROS.",Late 2024 1st
