,Rank,Pos Rk,Player,Pos,Team,Comments,Draft Pick Value,Player Id,Owner Id,Value
0,1,QB1,Patrick Mahomes,QB,KC,,>2024 1.01,4046,859924767849963520,94
1,2,QB2,Lamar Jackson,QB,BAL,,>2024 1.01,4881,867861194491506688,76
2,3,QB3,Jalen Hurts,QB,PHI,,>2024 1.01,6904,934257798362341376,100
3,4,QB4,Josh Allen,QB,BUF,,>2024 1.01,4984,859927095139270656,100
4,5,WR1,Justin Jefferson,WR,MIN,,>2024 1.01,6794,979271462437572608,88
5,6,QB5,Anthony Richardson,QB,IND,"Richardson has shown more as a passer than many expected, and Shane Steichen is giving him plenty of rushing and GL opportunities.",>2024 1.01,9229,991539775981019136,65
6,7,RB1,Bijan Robinson,RB,ATL,,~2024 1.01,9509,867861194491506688,81
7,8,RB2,Breece Hall,RB,NYJ,"There's not much to love about a Zach Wilson-led Jets offense, but Hall has shown elite RB1 upside as soon as he's 100% healthy.",~2024 1.01,8155,867861194491506688,75
8,9,WR2,Ja'Marr Chase,WR,CIN,"Chase is still an elite WR long term, but there's concern about 2023 production if Burrow's calf isn't 100% all season.",~2024 1.01,7564,996563003929796608,84
9,10,QB6,Tua Tagovailoa,QB,MIA,"The only concern for Tua is health. If he can stay on the field, Tua will be a strong QB1 with elite weekly upside this season.",~2024 1.01,6768,867876367142948864,80
10,11,QB7,Justin Herbert,QB,LAC,,~2024 1.01,6797,993326596813545472,90
11,12,QB8,Joe Burrow,QB,CIN,"Burrow will be fine in the long run, but there's a chance that this calf injury could greatly limit his 2023 production.",~2024 1.01,6770,991539775981019136,80
12,14,RB3,Christian McCaffrey,RB,SF,"The age cliff is looming for McCaffrey, but he's a weekly top-3 RB if he can stay healthy for the duration of the 2023 season.",Early 2024 1st,4034,996563003929796608,61
13,15,QB9,Justin Fields,QB,CHI,"CHI has finally started to call more designed runs for him, so Fields remains a QB1 ROS even with inconsistent passing.",Early 2024 1st,7591,979271462437572608,70
14,16,QB10,Trevor Lawrence,QB,JAC,,Early 2024 1st,7523,870455446538985472,88
15,17,WR4,Chris Olave,WR,NO,,Early 2024 1st,8144,979271462437572608,64
16,18,WR5,Garrett Wilson,WR,NYJ,"Wilson moves down slightly due to the QB downgrade in 2023, but he's still seeing a massive target share this year and is fine long-term.",Early 2024 1st,8146,859927095139270656,65
17,19,WR6,Jaylen Waddle,WR,MIA,,Early 2024 1st,7526,859924767849963520,61
18,20,WR7,Tyreek Hill,WR,MIA,"Age be damned. My dynasty rankings align more with redraft in-season, and Hill and Diggs are still elite WR1s and league-winners in 2023.",Early 2024 1st,3321,870455446538985472,63
19,21,WR8,Stefon Diggs,WR,BUF,,Early 2024 1st,2449,867876367142948864,55
20,22,WR9,Amon-Ra St. Brown,WR,DET,,Early 2024 1st,7547,870455446538985472,69
21,23,WR10,CeeDee Lamb,WR,DAL,,Early 2024 1st,6786,870455446538985472,82
22,24,TE1,Mark Andrews,TE,BAL,,Early 2024 1st,5012,867876367142948864,57
23,25,WR11,Davante Adams,WR,LV,"There was some concern that Garoppolo wouldn't target Adams downfield, but Adams has been a dominant force and truly QB-proof.",Early 2024 1st,2133,859924767849963520,51
24,26,QB11,Kyler Murray,QB,ARI,,Early 2024 1st,5849,867861194491506688,66
25,28,RB4,Tony Pollard,RB,DAL,"Pollard is seeing lead back and GL usage and is a top-5 RB for 2023, but keep in mind he's on the franchise tag heading into 2024.",Mid 2024 1st,5967,870455446538985472,56
26,29,TE2,Travis Kelce,TE,KC,,Mid 2024 1st,1466,996563003929796608,50
27,30,WR12,DeVonta Smith,WR,PHI,,Mid 2024 1st,7525,859927095139270656,59
28,31,RB5,Austin Ekeler,RB,LAC,"Ekeler should remain a top-12 RB once he returns from his ankle injury, but he's a declining asset who will be 29 years old next season.",Mid 2024 1st,4663,859924767849963520,57
29,32,RB6,Saquon Barkley,RB,NYG,,Mid 2024 1st,4866,867876367142948864,53
30,33,QB13,Dak Prescott,QB,DAL,"Prescott has been inconsistent to start the year, and he may not need to throw much in general with DAL's defense limiting opponents.",Mid 2024 1st,3294,979271462437572608,52
31,34,QB14,Deshaun Watson,QB,CLE,"Watson still hasn't shaken off the rust despite playing behind a top OL, and it's unclear whether he'll regain his HOU form at this point.",Mid 2024 1st,4017,867861194491506688,52
32,36,WR14,Jaxon Smith-Njigba,WR,SEA,"JSN is only playing in 3WR sets and being targeted on short routes, but his outlook remains bullish long-term.",Mid 2024 1st,9488,993326596813545472,43
33,37,WR15,Zay Flowers,WR,BAL,"Flowers has already ascended to the clear No. 1 WR role in BAL, and things should open up downfield once their OL gets healthier.",Mid 2024 1st,9997,859927095139270656,46
34,38,WR16,Jordan Addison,WR,MIN,"Addison is slowing taking over the No. 2 WR role in MIN, and their defense is forcing enough shootouts to give him a ton of targets.",Mid 2024 1st,9756,867861194491506688,44
35,39,WR17,Cooper Kupp,WR,LAR,,Mid 2024 1st,4039,859924767849963520,50
36,40,WR18,Drake London,WR,ATL,"London still looks like an elite prospect long-term, but Ridder is awful. It's hard to see London being more than a WR3 in 2023.",Mid 2024 1st,8112,991539775981019136,50
37,41,WR19,Tee Higgins,WR,CIN,"As with Chase, there's significant worry that Burrow's calf will downgrade the entire CIN offense in fantasy.",Mid 2024 1st,6801,867876367142948864,51
38,43,RB8,Travis Etienne,RB,JAC,,Mid 2024 1st,7543,870455446538985472,59
39,44,RB9,De'Von Achane,RB,MIA,"Achane will likely lead a committee backfield, but McDaniel's scheme puts him in position to score a TD every time he touches the ball.",Mid 2024 1st,9226,996563003929796608,43
40,45,RB10,Jahmyr Gibbs,RB,DET,It's become apparent that Gibbs's fantasy ceiling will be limited by DET's clear preference for Montgomery on early downs and near the GL.,Mid 2024 1st,9221,979271462437572608,59
41,46,RB11,Jonathan Taylor,RB,IND,"It's unclear how many games Taylor will play in 2023, but he should still be a strong buy for rebuilding teams.",Mid 2024 1st,6813,991539775981019136,64
42,47,WR20,Deebo Samuel,WR,SF,"Samuel and Aiyuk may alternate big weeks in 2023, but both have massive ceilings with Aiyuk heading to free agency this offseason.",Mid 2024 1st,5872,867876367142948864,44
43,48,WR21,Brandon Aiyuk,WR,SF,,Mid 2024 1st,6803,859927095139270656,45
44,49,TE3,Sam LaPorta,TE,DET,"Even as a rookie, LaPorta is heavily involved as a pass-catcher and has shown high-end playmaking ability.",Late 2024 1st,10859,870455446538985472,45
45,50,WR22,Marquise Brown,WR,ARI,"ARI's offense has been surprisingly efficient with Dobbs at the helm, and Brown is seeing enough volume to be a WR2 ROS.",Late 2024 1st,5848,870455446538985472,40
46,51,WR23,Puka Nacua,WR,LAR,"Even with Kupp's impending return, Nacua has shown route-running savvy and rapport with Stafford to remain a strong WR2 ROS.",Late 2024 1st,9493,934257798362341376,50
47,52,RB12,James Cook,RB,BUF,,Late 2024 1st,8138,934257798362341376,41
48,53,RB13,Rhamondre Stevenson,RB,NE,,Late 2024 1st,7611,859927095139270656,39
49,54,QB15,Brock Purdy,QB,SF,"Purdy may not have elite QB1 upside distributing the ball in Shanahan's run-heavy offense, but he can be a perennial back-end QB1.",Late 2024 1st,8183,867876367142948864,53
50,56,QB16,Kirk Cousins,QB,MIN,"This may be Cousins's last season of fantasy relevance in MIN, but he's a solid back-end QB1 for contending teams ROS yet again.",Late 2024 1st,1166,996563003929796608,40
51,57,QB17,Bryce Young,QB,CAR,"It's still early, but 2023 looks like a lost season for the 1st overall pick without a major upgrade in receiving weapons or playcalling.",Late 2024 1st,9228,870455446538985472,53
52,58,TE5,George Kittle,TE,SF,,Late 2024 1st,4217,867861194491506688,41
53,59,TE6,Kyle Pitts,TE,ATL,"There's no weekly floor or ceiling with Ridder. Perhaps Heinicke could be better, but Pitts probably won't hit until 2024, if at all.",Late 2024 1st,7553,991539775981019136,45
54,60,TE7,Dalton Kincaid,TE,BUF,,Late 2024 1st,10236,979271462437572608,41
55,61,QB18,Jared Goff,QB,DET,Goff looks to be in command of this DET offense and should be a solid QB2 behind this OL and with these pass-catching playmakers.,Late 2024 1st,3163,859924767849963520,50
56,62,QB19,Daniel Jones,QB,NYG,,Late 2024 1st,5870,979271462437572608,43
57,63,QB20,Jordan Love,QB,GB,"Love doesn't look elite, but he can be a perennial back-end QB1 in Matt LaFleur's scheme, especially if GB's OL gets healthy.",Late 2024 1st,6804,934257798362341376,44
58,64,QB21,Geno Smith,QB,SEA,,Late 2024 1st,1373,993326596813545472,44
59,65,QB22,Kenny Pickett,QB,PIT,,Late 2024 1st,8160,934257798362341376,40
60,66,WR24,Keenan Allen,WR,LAC,"There's risk with Allen nearing 32 years old, but he looks to be a strong WR2 with WR1 upside ROS for contending teams.",Late 2024 1st,1479,996563003929796608,39
61,68,WR26,Amari Cooper,WR,CLE,,Late 2024 1st,2309,979271462437572608,38
62,69,WR27,Christian Watson,WR,GB,Jordan Love has looked adequate enough to execute LaFleur's offense with efficiency. Watson could be a strong contributor once healthy.,Late 2024 1st,8167,934257798362341376,47
63,70,WR28,Nico Collins,WR,HOU,"Stroud has started off strong and should continue to improve, which gives Collins WR2 potential ROS with high weekly upside.",Late 2024 1st,7569,859927095139270656,42
64,72,WR30,Calvin Ridley,WR,JAC,"Ridley has been quiet the last few games since exploding in Week 1, but he should bounce back and has WR2 potential ROS.",Late 2024 1st,4981,996563003929796608,42
65,73,WR31,Quentin Johnston,WR,LAC,,Late 2024 1st,9754,991539775981019136,41
66,74,WR32,Jerry Jeudy,WR,DEN,,Late 2024 1st,6783,979271462437572608,42
67,75,WR33,George Pickens,WR,PIT,,Late 2024 1st,8137,993326596813545472,41
68,76,WR34,Terry McLaurin,WR,WAS,,Late 2024 1st,5927,934257798362341376,39
69,77,RB14,Alvin Kamara,RB,NO,"It's only been one week back, but Kamara looks like a RB1 ROS for contending teams with Derek Carr's proficiency for checking down.",Late 2024 1st,4035,859924767849963520,37
70,78,RB15,Isiah Pacheco,RB,KC,,Late 2024 1st,8205,996563003929796608,38
71,79,RB16,Josh Jacobs,RB,LV,,Late 2024 1st,5850,934257798362341376,58
72,80,RB17,Joe Mixon,RB,CIN,,Early 2024 2nd,4018,859927095139270656,39
